Country Name,Country Code,Series Name,Series Code,2007Q4 [YR2007Q4],2008Q1 [YR2008Q1],2008Q2 [YR2008Q2],2008Q3 [YR2008Q3],2008Q4 [YR2008Q4],2009Q1 [YR2009Q1],2009Q2 [YR2009Q2],2009Q3 [YR2009Q3],2009Q4 [YR2009Q4],2010Q1 [YR2010Q1],2010Q2 [YR2010Q2],2010Q3 [YR2010Q3],2010Q4 [YR2010Q4],2011Q1 [YR2011Q1],2011Q2 [YR2011Q2],2011Q3 [YR2011Q3],2011Q4 [YR2011Q4],2012Q1 [YR2012Q1],2012Q2 [YR2012Q2],2012Q3 [YR2012Q3],2012Q4 [YR2012Q4],2013Q1 [YR2013Q1],2013Q2 [YR2013Q2],2013Q3 [YR2013Q3],2013Q4 [YR2013Q4],2014Q1 [YR2014Q1],2014Q2 [YR2014Q2],2014Q3 [YR2014Q3],2014Q4 [YR2014Q4],2015Q1 [YR2015Q1],2015Q2 [YR2015Q2],2015Q3 [YR2015Q3],2015Q4 [YR2015Q4],2016Q1 [YR2016Q1],2016Q2 [YR2016Q2],2016Q3 [YR2016Q3],2016Q4 [YR2016Q4],2017Q1 [YR2017Q1],2017Q2 [YR2017Q2],2017Q3 [YR2017Q3],2017Q4 [YR2017Q4],2018Q1 [YR2018Q1],2018Q2 [YR2018Q2],2018Q3 [YR2018Q3],2018Q4 [YR2018Q4],2019Q1 [YR2019Q1],2019Q2 [YR2019Q2],2019Q3 [YR2019Q3],2019Q4 [YR2019Q4],2020Q1 [YR2020Q1]
Canada,CAN,"Gross PSD, Total, Short-term, Loans, Nominal Value, US$",DP.DOD.DSLO.CR.PS.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,"Gross PSD, Total, Short-term, Loans, Nominal Value, US$",DP.DOD.DSLO.CR.PS.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Total, Short-term, Loans, Nominal Value, US$",DP.DOD.DSLO.CR.PS.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Colombia,COL,"Gross PSD, Total, Short-term, Loans, Nominal Value, US$",DP.DOD.DSLO.CR.PS.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Congo, Dem. Rep.",COD,"Gross PSD, Total, Short-term, Loans, Nominal Value, US$",DP.DOD.DSLO.CR.PS.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4939999.0285984,4900001.05994644,4899997.8558776,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Costa Rica,CRI,"Gross PSD, Total, Short-term, Loans, Nominal Value, US$",DP.DOD.DSLO.CR.PS.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,627429.249880679,1537068.33792018,2549355.96593103,2366789.27193745,1779291.02472533,1452368.46722085,851932.91163242,99627696.2748888,79629964.4644628,1061225.63156518,..
Cote d'Ivoire,CIV,"Gross PSD, Total, Short-term, Loans, Nominal Value, US$",DP.DOD.DSLO.CR.PS.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Croatia,HRV,"Gross PSD, Total, Short-term, Loans, Nominal Value, US$",DP.DOD.DSLO.CR.PS.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,"Gross PSD, Total, Short-term, Loans, Nominal Value, US$",DP.DOD.DSLO.CR.PS.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Czech Republic,CZE,"Gross PSD, Total, Short-term, Loans, Nominal Value, US$",DP.DOD.DSLO.CR.PS.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
